Price,Close,High,Low,Open,Volume,MA10,MA50,Return
2015-03-16,422.2080993652344,425.0673567873068,411.7583989050933,411.7583989050933,6818632,417.0093048095703,406.463837890625,0.020829853070432947
2015-03-17,417.3372192382813,424.6017367791395,413.0064491658465,422.2081531938685,5539312,416.0556182861328,407.4551654052734,-0.011536680926481857
2015-03-18,415.2882080078125,421.5003193747332,413.9936429627756,419.9449495194498,4905564,414.7824645996094,408.26096801757814,-0.00490972560321512
2015-03-19,415.4652099609375,418.9205217141169,414.03094248112643,416.23825643956104,6891740,413.9591583251953,409.13476135253904,0.00042621473403769983
2015-03-20,420.4944152832031,422.6271936956501,415.93080882579727,417.43028861414274,6430896,414.14263610839845,410.2644866943359,0.012104997486404478
2015-03-23,416.0238952636719,423.7634074711438,414.5430608030903,419.6654756186756,5078700,414.95103759765624,411.2699688720703,-0.01063158000926212
2015-03-24,411.9260559082031,419.7400595317602,410.91089529381384,416.29407060930527,6736532,415.2015716552734,412.15661254882815,-0.009850009583876385
2015-03-25,413.3509826660156,415.2229561959916,409.9329165290985,414.0587709281026,6170968,415.8889099121094,412.6954913330078,0.0034591809315651645
2015-03-26,399.7998962402344,412.5686448387401,397.1269084735738,411.28340239664675,15740840,414.5486999511719,412.8087445068359,-0.0327834866591582
2015-03-27,410.1937561035156,414.3941464671696,402.90131634890264,403.08758602821325,10074220,414.2087738037109,413.23064697265625,0.025997655229594407
2015-03-30,415.0087890625,417.2440249102334,408.8432453254395,410.8363670037936,4623088,413.4888427734375,413.6007666015625,0.011738435525501467
2015-03-31,413.2113037109375,423.5119791606892,410.60352856396446,418.1753717824581,8016412,413.0762512207031,413.91407165527346,-0.004331198275638881
2015-04-01,404.9408874511719,409.7000859972582,401.91400570647744,409.5883060193667,6738488,412.04151916503906,414.1213897705078,-0.020014980678145222
2015-04-06,405.7326354980469,406.94338850045995,402.4170258731621,405.88166034738987,7741752,411.06826171875,414.40340393066407,0.0019552188267737414
2015-04-07,402.2492980957031,406.5893899163602,398.2445007310087,405.1364775911805,8542268,409.24375,414.53491149902345,-0.008585302481442847
2015-04-08,409.8957214355469,410.7059671947268,404.7733056352426,406.5335448786941,10185576,408.6309326171875,414.64909606933594,0.01900916515216511
2015-04-09,412.5873107910156,413.3137442990768,406.88744081271557,411.91672180204176,10581548,408.6970581054687,414.7182012939453,0.006566522202384073
2015-04-10,416.11712646484375,416.871527734898,411.6932217357536,411.6932217357536,7123776,408.9736724853516,414.78861328125,0.008555318066037376
2015-04-13,417.02056884765625,417.9891620888483,412.7922562051474,416.8715440083968,4872336,410.69573974609375,415.16972290039064,0.002171125208154212
2015-04-15,412.34515380859375,418.1754034959633,408.87124270046104,416.59211132237056,6237784,410.91087951660154,415.4273352050781,-0.01121147345796869
2015-04-16,408.7966613769531,415.5675812155715,402.4355711413009,413.89115439757956,9007812,410.2896667480469,415.6104357910156,-0.00860563631914979
2015-04-17,405.9281921386719,408.85261696182874,401.12242539420004,406.0772169749336,6450316,409.5613555908203,415.749580078125,-0.007016860726355656
2015-04-20,397.15478515625,406.0678054056629,393.98820135262787,405.32272686363416,12825384,408.7827453613281,415.73207092285156,-0.021613199458254795
2015-04-21,399.1014099121094,401.4297807683221,394.91034237092646,400.10724793159596,8881648,408.1196228027344,415.81291259765624,0.0049014259140640615
2015-04-22,398.1885681152344,401.41104172170026,390.78435052431206,400.6752857984278,12350984,407.7135498046875,415.7937261962891,-0.002287242726293659
2015-04-23,395.2642211914063,400.47977170665575,393.4015245788172,400.23761205182086,11891800,406.2503997802734,415.5262438964844,-0.0073441257685272765
2015-04-24,371.645263671875,400.51706463363143,368.813973575986,397.8533990626055,43565452,402.15619506835935,414.64965881347655,-0.05975485827768323
2015-04-27,369.6800231933594,372.9117967041108,362.8718591683249,372.5392574466642,19822640,397.5124847412109,413.665224609375,-0.005287947057629472
2015-04-28,365.2562255859375,369.18651134580324,363.59842086125525,369.18651134580324,10393500,392.33605041503904,412.48278747558595,-0.011966558455629661
2015-04-29,365.302734375,367.32375556160156,360.9812647844196,365.25616696176957,8289056,387.6318084716797,411.2768792724609,0.00012733195440506329
2015-04-30,361.7821960449219,366.0198302114926,359.92882228484945,365.0884820430155,13134260,382.93036193847655,409.9023956298828,-0.009637317213355812
2015-05-04,371.2540893554688,372.5393546767029,363.20724838965106,364.9954327444997,13361592,379.46295166015625,408.7736022949219,0.026181203536535635
2015-05-05,365.6007690429688,373.22850239704314,363.60769280954133,372.53931376178195,9408516,376.30755004882815,407.5963781738281,-0.015227631087686322
2015-05-06,358.0195617675781,367.88252986548355,356.7622417287974,367.88252986548355,10508408,372.199365234375,406.20140625,-0.020736300132070173
2015-05-07,362.1081848144531,366.411009006162,355.7750169730481,358.0102526817793,6779984,368.59132690429686,404.78314880371096,0.011420110752298207
