Date,Close,High,Low,Open,Volume,MA10,MA50
2015-01-01,189.9998016357422,190.87715534273178,189.0903506676063,189.65743085018167,2963643,,
2015-01-02,189.49693298339844,191.74381271840838,189.22945580333513,190.04260071522322,7331366,,
2015-01-05,187.4212646484375,190.6417900892634,187.04678228843514,189.37925486692558,10103941,,
2015-01-06,178.9152374267578,186.81139240746566,178.03788369901343,186.16943288485805,18627980,,
2015-01-07,182.809814453125,183.77276085280215,179.10783035701846,179.1292285310337,20720312,,
2015-01-08,180.1884613037109,184.65010901239097,179.7818817251331,184.05093158896315,19872227,,
2015-01-09,184.09375,184.457533275433,180.81974337459295,181.54729564096232,13392787,,
2015-01-12,181.9538726806641,184.24354889589054,180.0921885470929,184.13655801772492,10100113,,
2015-01-13,180.42384338378903,182.94889929466348,179.85677749808573,182.53162062437363,9948711,,
2015-01-14,178.66917419433594,181.24772588423613,177.86671400685174,180.39177025551925,11380041,183.3972152709961,
2015-01-15,184.93899536132807,186.4048131781008,179.74979516459382,179.74979516459382,16927085,182.8911346435547,
2015-01-16,186.1052703857422,187.23940240389092,182.32837764229646,184.02957566951957,19136963,182.55196838378907,
2015-01-19,188.23440551757807,189.5932181135974,183.76205866343602,186.21222096929463,13339962,182.6332824707031,
2015-01-20,193.24176025390625,193.7767289884283,188.06324404819568,188.63032433421716,13361320,184.06593475341793,
2015-01-21,194.03347778320312,195.0285214787759,190.8878603857459,193.6590097248124,17084297,185.18830108642575,
2015-01-22,189.1117706298828,194.12978549981565,188.20231962566118,193.69110862891478,23721627,186.08063201904295,
2015-01-23,189.7858428955078,192.11830129279832,187.66736626512574,190.4492006574211,18080494,186.64984130859372,
2015-01-27,190.24588012695312,191.88288317159092,188.41627924592046,191.06972405013323,17939876,187.47904205322263,
2015-01-28,194.05487060546875,194.6861453126213,189.6146209037031,189.6146209037031,19298126,188.8421447753906,
2015-01-29,198.88031005859372,199.97164555622763,194.06557782256655,194.10837417270935,36117653,190.86325836181638,
2015-01-30,195.85238647460935,199.2761945456081,194.51495765255618,199.00870306739893,21746801,191.9545974731445,
2015-02-02,194.3116455078125,196.8474003420121,193.80877417542277,196.02354214136506,19302710,192.77523498535155,
2015-02-03,200.63504028320312,201.3304953363109,195.41372784477915,195.41372784477915,17092333,194.01529846191406,
2015-02-04,198.75192260742188,201.96173460093706,198.13136124086165,200.9559917954961,14072894,194.56631469726562,
2015-02-05,197.6605987548828,201.12718905570785,196.35526713457438,200.2926458875079,12365643,194.92902679443358,
