Price,Close,High,Low,Open,Volume,MA10,MA50,Return
2015-03-16,180.1991729736328,182.73492811785326,179.8139915415307,182.21065854911555,13839990,185.7115005493164,188.35617431640625,-0.009410635575861193
2015-03-17,183.35548400878903,184.00814260727708,179.96377340198245,182.00735617885903,19070082,185.5531494140625,188.2232879638672,0.017515679917232907
2015-03-18,185.88055419921875,186.65091709935052,182.89542295907717,183.38759528846785,9269885,184.86517639160155,188.15096008300782,0.013771446237782925
2015-03-19,183.2057037353516,187.6031429821561,182.76702686252392,187.35706396918957,13934612,184.18683624267578,188.06664916992187,-0.014390157568609174
2015-03-20,182.7670440673828,184.2756584032449,181.5901014758716,183.58018907996612,10405717,183.5266860961914,188.14368499755858,-0.0023943559563104344
2015-03-23,180.1670684814453,184.88549441073982,179.34321021313397,183.28058850662916,13251683,182.9339385986328,188.0908297729492,-0.014225625846303713
2015-03-24,181.4509735107422,182.809800309064,180.19915185871298,180.19915185871298,9238431,182.69426879882812,188.11608001708984,0.00712619148503868
2015-03-25,180.7983245849609,181.7826691348462,179.9637672495597,181.6756782673576,10264941,182.4578094482422,188.05017150878905,-0.0035968334209165453
2015-03-26,177.46011352539062,181.72917779480818,176.3473799094531,179.98516947747746,20621346,181.71955108642578,187.9602963256836,-0.018463727842796374
2015-03-27,173.69393920898438,178.6798567145218,171.50055489934067,178.4444625104279,23326922,180.89783782958983,187.8256982421875,-0.021222652468704695
2015-03-30,173.49066162109375,174.97787776886372,170.43063661796947,174.74249782300674,17330588,180.22698669433595,187.72212799072267,-0.0011703205581977683
2015-03-31,176.7539825439453,178.23049959453544,175.042071264393,175.042071264393,20235395,179.56683654785155,187.558427734375,0.01880977853424004
2015-04-01,178.90452575683594,179.5357861477442,173.99350218572226,176.5185580338501,14588531,178.86923370361328,187.41441345214844,0.012166872745602575
2015-04-06,176.465087890625,179.32183011568313,175.76963288075356,178.89385230787886,12334096,178.19517211914064,187.17902679443358,-0.013635417303677233
2015-04-07,178.21978759765625,178.91524257679168,176.7646688292302,176.7646688292302,21275454,177.74044647216797,186.87858795166017,0.009943608268389248
2015-04-08,185.2920837402344,186.0624323295186,178.23048596339783,178.35887501419583,24821205,178.25294799804686,186.703759765625,0.039683001746946056
2015-04-09,191.54049682617188,192.37505411439008,183.77274601823515,185.20646641501003,27276420,179.26190032958985,186.75233459472656,0.03372196458590904
2015-04-10,193.51991271972656,194.4721600924163,190.25660526974175,191.50842709752723,25323219,180.5340591430664,186.82701629638672,0.010334190034763546
2015-04-13,197.40382385253903,197.88529715108666,192.3216136370358,194.04420985190706,20177342,182.52843017578124,186.97017486572267,0.020069826811246694
2015-04-15,197.6498870849609,201.06298172725784,194.1297872824526,197.0828068746773,22231264,184.92402496337888,187.04207489013672,0.0012464967882572786
2015-04-16,198.6556396484375,200.72062078921024,196.65485303624877,197.83178129594916,20177302,187.44052276611328,187.0375814819336,0.005088556225909979
2015-04-17,198.33462524414065,202.06870646427583,197.42517431286709,200.08931830250222,23958678,189.5985870361328,187.0872265625,-0.0016159340095501795
2015-04-20,189.51834106445312,200.6029102446017,187.98832866102612,200.57081298131627,37628162,190.65996856689452,186.99135986328125,-0.04445156345663348
2015-04-21,187.54965209960935,191.6261331043077,186.6937107927023,190.48128785834427,17707007,191.76842498779297,186.7296530151367,-0.01038785456745972
2015-04-22,188.2557830810547,189.75369792632887,185.52743053189803,188.71585804874195,14761313,192.77202453613282,186.5197299194336,0.003765034877645679
2015-04-23,187.67807006835935,190.3208163785559,185.96615875209633,189.13318897338397,13337818,193.0106231689453,186.32007995605468,-0.003068766352036012
